NP_001079.1	F1T0I5
NP_000769.2	Q02928
NP_000771.2	P22680
NP_004382.2	Q9UNU6
NP_000488.3	P15538
NP_000772.2	A0A0S2Z3R3
NP_000094.2	A0A024R5S8
NP_000489.3	P19099
NP_000093.1	P05093
NP_000491.4	Q16874
NP_000773.2	Q07973
NP_000774.2	O43174
NP_000775.1	Q02318
NP_000776.1	O15528
NP_001334.2	A0A024R036
NP_001335.1	P61803
NP_000565.1	P08174
NP_004384.5	Q14118
NP_001337638.1	B5MBY2
NP_001908.3	A0A024RBI1
NP_001337.2	P49619
NP_001336.2	A0A024RB23
NP_004385.1	P51397
NP_001338.2	A0A140VKC1
NP_001339.1	O43293
NP_001340.2	A0A140VJW5
NP_001135441.1	A0A024RCS3
NP_004929.2	P53355
NP_001342.2	A0A140VK77
NP_004072.3	A0A140VJH5
NP_001073331.1	P07108
NP_000778.3	P09172
NP_055433.2	O60477
NP_001343.2	Q10586
NP_001910.2	A0A384NKJ3
NP_005206.2	P43146
NP_001912.2	P32321
NP_000779.1	F5CTF3
NP_001911.1	P07585
NP_001913.2	P40126
NP_000780.1	P12821
NP_001182482.1	A8K340
NP_000098.1	Q92466
NP_001914.3	Q16531
NP_004073.2	Q14203
NP_004074.2	P35638
NP_001915.1	P24522
NP_001380321.1	P52895
NP_001344.2	Q04828
NP_001076440.2	A0A0S2Z3N4
NP_001077861.1	P30046
NP_005207.3	A0A0C4DGS1
NP_004930.1	A3RJH1
NP_001347.3	O00571
NP_004387.1	P17844
NP_004388.2	P26196
NP_004389.2	Q13206
NP_001350.1	A0A024R9D7
NP_004075.1	P59665
NP_005208.1	P59666
NP_001349.2	O43143
NP_004932.1	Q14562
NP_001348.2	Q08211
NP_005209.1	P60022
NP_001917.1	Q01524
NP_066290.1	Q01523
NP_001916.1	P12838
NP_004933.1	O15263
NP_001919.2	P00746
NP_001918.3	P17661
NP_004076.1	O60220
NP_004392.1	O00273
NP_004393.1	O76075
NP_550438.1	E5KSL5
NP_004077.1	O43405
NP_000782.1	B0YJ76
NP_001120925.1	A0A024RA58
NP_001351.2	A0A024R5F7
NP_001352.2	Q02127
NP_055577.1	Q15392
NP_001921.1	A0A024R7D0
NP_000389.1	P00387
NP_000894.1	P15559
NP_001352906.1	Q8WYJ6
NP_005210.3	O60610
NP_000099.2	A0A024R713
NP_001354.1	O60832
NP_006720.1	O60879
NP_001922.2	P10515
NP_001308004.1	P78352
NP_001924.2	A0A024R6C9
NP_066943.2	Q92796
NP_835221.2	P56177
NP_005211.1	O60479
NP_004396.1	Q07687
NP_612138.1	Q92988
NP_005212.1	P56178
NP_004398.1	Q13316
NP_001128179.1	Q9UL12
NP_068770.2	Q9Y5R6
NP_004400.4	E5KR06
NP_004934.1	Q09019
NP_004399.2	Q05193
NP_005214.2	P24855
NP_001073918.2	P51530
NP_001365.1	Q92874
NP_001366.1	A0A024R7F4
NP_001290549.1	P49184
NP_004935.1	A0A024R365
NP_006132.1	A0A024R6Z0
NP_001369.1	A0A140VKE9
NP_004403.1	O14717
NP_004079.3	P04053
NP_072046.2	Q9Y6K1
NP_001373.2	A0A024R3H8
NP_001372.1	Q99704
NP_005501.2	A0A024RCW8
NP_008823.1	Q9UBC3
NP_001376395.1	A0A140VJI3
NP_001374.4	A0A6Q8JGF9
NP_001375.2	Q9BQC3
NP_001926.2	P27487
NP_004937.1	Q92608
NP_004938.1	Q8IZD9
NP_001928.2	Q07507
NP_001376.1	Q14117
NP_001929.1	Q01658
NP_001184222.1	A0A1C7CYX9
NP_001184223.1	A0A140VK07
NP_570629.2	P42658
NP_000101.2	Q12882
NP_000786.1	A0A024R3C5
NP_000785.1	P21728
NP_000102.1	P40879
NP_000788.2	P21917
NP_000789.1	P21918
NP_001379.1	P55039
NP_005215.1	Q99856
NP_001930.2	A0A024RCH3
NP_001931.2	P54259
NP_004405.3	P53805
NP_000787.2	X5D2G4
NP_077739.1	Q08554
NP_077740.1	Q02487
NP_001932.2	Q14574
NP_001933.2	Q02413
NP_001380.2	O60469
NP_004941.2	A0A024RBC3
NP_001935.2	P32926
NP_001934.2	Q14126
NP_068707.1	O60941
NP_000103.2	P50443
NP_001373724.1	A0A7P0TBH9
NP_001936.1	Q99075
NP_036277.2	P23919
NP_055023.2	Q9NZW4
NP_004409.1	Q05923
NP_004408.1	P28562
NP_004407.2	Q86Y01
NP_001384.1	O94769
NP_004081.1	P51452
NP_001385.1	Q13115
NP_004410.3	Q16690
NP_001937.2	A0A024RBC1
NP_004411.2	Q13202
NP_001938.2	Q16829
NP_001020419.1	P33316
NP_001305432.1	Q99956
NP_001317240.1	O14640
NP_004414.3	Q92997
NP_000104.1	O14656
NP_005216.1	Q01094
NP_004413.1	O14641
NP_004082.1	Q14209
NP_001940.1	O00716
NP_001941.2	Q16254
NP_937987.2	A0A0S2Z3K8
NP_001942.2	Q15329
NP_076870.1	Q9UH73
NP_004415.4	Q66K89
NP_001944.1	E5KRG5
NP_001388.1	A1PUP8
NP_004083.3	P30084
NP_001389.2	A0A384MR44
NP_004942.1	A0A024RDX2
NP_004416.2	A0A140VJI7
NP_001245244.1	Q9H8V3
NP_001390.1	Q92838
NP_001391.2	P21453
NP_001338340.1	Q5VZX0
NP_001946.3	P05305
NP_005217.2	Q99500
NP_001947.1	P20800
NP_996917.1	P14138
NP_001948.1	P25101
NP_001116131.1	P24530
NP_004417.2	P78364
NP_001393.1	P68104
NP_001950.1	A0A024R3W7
NP_001949.1	Q05639
NP_001395.1	P26641
NP_001952.1	A0A384N6H1
NP_004419.2	P20827
NP_008824.2	P41214
NP_001396.2	O43921
NP_005218.1	P52798
NP_004943.1	P52797
NP_001953.1	P52803
NP_004420.1	P98172
NP_004084.1	P52799
NP_001397.1	Q15768
NP_001954.2	P01133
NP_001073966.2	Q9H1U4
NP_000390.2	P11161
NP_001955.1	P18146
NP_001403.1	P47813
NP_001956.4	A0A0C4DG96
NP_001400.3	O75095
NP_004421.2	Q06889
NP_001957.2	Q08426
NP_005219.2	P00533
NP_004085.1	P05198
NP_001405.1	Q14232
NP_001407.1	P60842
NP_001406.1	P41091
NP_001958.2	Q14240
NP_004422.2	A0A024QZA8
NP_001959.1	P06730
NP_001408.2	P23588
NP_004086.1	Q13541
NP_004087.1	A0A024QZM3
NP_001409.3	P78344
NP_001960.2	A0A024R6Q1
NP_001961.1	P63241
NP_937884.2	Q04637
NP_001963.1	P08246
NP_001962.3	Q9UNI1
NP_004423.2	Q12926
NP_001410.2	Q15717
NP_109591.1	P30740
NP_001411.2	Q14576
NP_001317965.1	Q15723
NP_758961.1	A0A024RDU6
NP_004424.3	A0A024R974
NP_001413.1	A8K443
NP_001412.1	Q99607
NP_005221.2	A0A024RBE2
NP_001964.2	A0A024R985
NP_001107595.1	A0A024R1A7
NP_000108.1	P50402
NP_004425.2	O00423
NP_001415.1	P54851
NP_001414.1	A0A024RAT0
NP_001416.1	A0A024QZF8
NP_004088.2	Q04741
NP_001034558.2	Q7KZI7
NP_004089.1	Q04743
NP_005222.2	Q14247
NP_001965.3	Q14246
NP_001418.2	P19622
NP_001417.3	Q05925
NP_004426.2	E5KNL5
NP_001108225.1	A0A024R878
NP_443739.3	P13929
NP_001966.1	P09104
NP_001419.1	A0A024R4F1
NP_004427.1	O43768
NP_001359256.1	Q99808
NP_001968.3	Q07075
NP_001421.2	Q99814
NP_001362942.1	P11171
NP_001374680.1	Q08495
NP_001107606.1	P16452
NP_036288.2	Q9H4G0
NP_001422.1	O43491
NP_004090.4	A0A024R882
NP_005223.4	P21709
NP_005224.2	A0A140VJJ0
NP_004429.1	A1MA61
NP_001420.2	Q09472
NP_001268695.1	B7ZKW7
NP_004431.1	Q15375
NP_065387.1	P29322
NP_004432.1	P54762
NP_004434.2	P54753
NP_001129490.1	P07099
NP_001970.2	P34913
NP_004435.3	P54760
NP_919337.1	P32856
NP_061764.2	A0A024QZ57
NP_004436.4	F8WCM8
NP_000790.2	G9JKG7
NP_000112.1	P19235
NP_004438.3	Q12929
NP_004437.2	P07814
NP_005225.2	F1D8R3
NP_001974.1	A0A024R0Q6
NP_001972.1	P42566
NP_001423.1	O14944
NP_004439.2	P04626
NP_004091.3	O95677
NP_000391.1	P18074
NP_001973.2	P21860
NP_005226.1	Q15303
NP_006485.2	A0A024R0L4
NP_000113.1	P19447
NP_891548.1	P11308
NP_005227.1	A0A1W1GSK9
NP_004441.1	A0A024R6D4
NP_000114.3	P28715
NP_001427.2	P22087
NP_000115.1	Q03468
NP_001975.1	A0A140VJJ2
NP_001007254.2	Q14264
NP_001424.3	O75460
NP_001428.1	Q7LCB3
NP_004442.3	P11474
NP_000116.2	G4XH65
NP_001366109.1	A0A2R8Y491
NP_001429.2	F1D8R5
NP_004721.1	P62495
NP_000117.1	A0A0S2Z3L0
NP_001976.1	P38117
NP_004444.2	Q16134
NP_055024.2	O00321
NP_004947.2	P50549
NP_005230.1	P15036
NP_001978.1	A0A0S2Z3C9
NP_001138784.1	P41162
NP_001073143.1	P43268
NP_004445.1	P41161
NP_055025.2	P22794
NP_006486.3	P34910
NP_714928.1	P57679
NP_001980.1	P49640
NP_001979.2	Q92817
NP_005234.1	Q01844
NP_004446.2	Q92935
NP_997005.1	Q93063
NP_000118.2	Q16394
NP_000494.2	A0A024R813
NP_001028197.1	Q9UBQ6
NP_001981.2	Q99504
NP_005235.3	O00167
NP_001982.2	Q92800
NP_001431.1	A0A384NPY9
NP_004092.1	O00254
NP_000497.1	P00734
NP_001983.2	A0A024RAP7
NP_004447.2	A0A090N8E9
NP_001984.1	P13726
NP_000495.1	P00742
NP_000123.1	P00451
NP_000124.1	P00740
NP_000496.2	P00748
NP_001432.2	O00519
NP_000119.1	P03951
NP_001433.1	E7DVW4
NP_001434.1	P07148
NP_001985.2	P05160
NP_000121.2	P12259
NP_004093.1	A0A384MDY5
NP_001435.1	E7DVW5
NP_001437.1	O15540
NP_001436.1	P51161
NP_000127.2	A0A024R9N2
NP_000126.2	O15360
NP_068741.1	Q9HB96
NP_001018125.1	Q9BXW9
NP_000128.1	A0A384P5L6
NP_004448.2	A0A024R487
NP_001986.2	P33121
NP_001018123.1	A0A024RBW1
NP_775268.1	Q14289
NP_073562.1	A3KME0
NP_004620.1	O15287
NP_006477.3	P23142
NP_004451.2	Q12884
NP_004452.1	Q6IBR2
NP_004095.4	P49327
NP_000498.2	P09467
NP_001991.1	P24071
NP_001034437.1	A0A0S2Z4F1
NP_000130.1	Q01362
NP_001207429.1	P06734
NP_004097.1	P30273
NP_001374209.1	P12319
NP_000557.1	P12314
NP_001129691.1	P12318
NP_001381406.1	P31994
NP_000560.7	P08637
NP_001231682.2	A0A3B3ISU3
NP_001129491.1	A0A024QZI2
NP_004099.2	Q15485
NP_001994.2	O00602
NP_001073270.1	O75072
NP_001995.1	P14324
NP_004100.1	P10109
NP_004453.3	P37268
NP_077728.3	A0A0C4DFN8
NP_000131.2	P22830
NP_004102.1	P39748
NP_001439.2	O75487
NP_001996.1	A0A024RC92
NP_005237.2	P16591
NP_005132.2	P02675
NP_004454.2	A0A024R9Y5
NP_005238.1	A0A7U3JVY0
NP_001348594.1	D9ZGF5
NP_000791.1	A0A7U3JVZ2
NP_001998.1	A0A7U3JW12
NP_066276.2	A0A7U3JW05
NP_002000.1	A0A7U3JVY2
NP_002001.1	A0A7U3L6D0
NP_004105.1	A8K1P5
NP_004103.1	A0A7U3JVZ5
NP_004456.1	A0A7U3JW18
NP_004106.1	A0A7U3JVZ8
NP_000133.1	P22607
NP_004457.1	P78333
NP_000132.3	P21802
NP_998812.1	P22455
NP_004458.3	Q08830
NP_068656.2	P02679
NP_005239.1	P09769
NP_000134.2	A0A0S2Z4C3
NP_002003.1	A0A024R366
NP_004455.2	A0A7U3L5M4
NP_075598.2	P11362
NP_004459.2	Q13643
NP_001305824.1	Q14192
NP_000792.1	P62942
NP_004460.1	O43915
NP_004107.1	P68106
NP_004461.2	P26885
NP_002004.1	Q00688
NP_002005.1	Q02790
NP_005240.3	P55316
NP_004108.1	Q13451
NP_001442.2	Q12946
NP_001443.1	Q12947
NP_001444.2	Q12948
NP_004463.1	Q16676
NP_005241.1	Q12952
NP_997188.2	Q12950
NP_036320.2	E0XEN6
NP_001445.2	A0A024R8P1
NP_005242.1	Q99958
NP_036318.1	A0A0A1EII5
NP_004464.2	O00358
NP_004465.3	O60548
NP_068772.2	Q08050
NP_004109.1	O43638
NP_002006.2	Q12778
NP_001446.1	O43524
NP_001355064.1	A0A2Z4LIS9
NP_002008.2	A0A024R3M5
NP_002009.1	Q13045
NP_005502.1	A0A384MR46
NP_001104026.1	P21333
NP_001450.2	P49771
NP_004466.2	A0A024QZ62
NP_001269622.1	A0A024R934
NP_004110.2	P36888
NP_001002294.1	A0A024R8Z4
NP_001451.2	Q99518
NP_002013.1	P31512
NP_002010.2	P17948
NP_891555.2	P35916
NP_002014.2	A0A024R971
NP_001452.2	A0A024QYY6
NP_001448.2	O75369
NP_002018.1	P49354
NP_002015.1	Q06787
NP_002016.2	P51816
NP_057941.1	A0A024R5H1
NP_002019.1	A0A384MEJ5
NP_004467.1	Q04609
NP_997647.2	P02751
NP_000794.3	P14207
NP_000795.2	P41439
NP_005243.1	P01100
NP_006723.2	A0A024R0P6
NP_005244.1	P15408
NP_002020.1	P21462
NP_004948.4	Q05932
NP_002021.3	P25089
NP_001005738.1	A0A024R4P3
NP_000135.2	A0A0S2Z3G4
NP_002022.1	P42685
NP_004468.1	Q14331
NP_001369218.1	A0A0F7RQE8
NP_001454.2	D9ZGF6
NP_004949.1	P42345
NP_000137.2	A0A384MDR3
NP_002023.2	A0A024R525
NP_995582.1	O00482
NP_000136.2	A0A1D5RMN4
NP_001373117.1	A0A024RCG4
NP_004950.2	F1D8R8
NP_000138.2	P04066
NP_001455.3	Q99965
NP_114409.2	Q9BTY2
NP_000796.1	A0A0E3VY36
NP_004951.1	P35637
NP_001371288.1	P19526
NP_000502.4	A8K2L2
NP_002024.1	P22083
NP_002025.2	K7ENC0
NP_002026.1	A0A024R292
NP_004470.1	Q11130
NP_001358462.1	Q546E0
NP_000141.1	P51993
NP_002027.2	Q16570
NP_002028.1	P06241
NP_002029.3	A0A348GSI1
NP_001457.1	Q14332
NP_001035753.1	P0DTW1
NP_000142.2	P35575
NP_001346945.1	A0A384NL00
NP_001460.1	A0A024R1N4
NP_002030.2	Q13480
NP_000143.2	P10253
NP_002031.2	A8IE48
NP_001461.1	A0A1U9X7R0
NP_057738.1	A0A024R5X6
NP_001121116.1	P14867
NP_000798.2	A0A024R9X6
NP_000801.1	P31644
NP_000799.1	P34903
NP_000800.2	P48169
NP_001358656.1	P47870
NP_000802.2	Q16445
NP_000803.2	P18505
NP_000805.1	P28472
NP_000806.2	O14764
NP_775807.2	Q8N1C3
NP_004952.2	P78334
NP_150092.2	Q99928
NP_055026.1	O00591
NP_002033.2	P24046
NP_002034.3	P28476
NP_001127838.1	Q05329
NP_000808.2	A0A0S2Z3V5
NP_001008217.1	A0A384NL38
NP_000144.2	A0A0A0MQV0
NP_005246.2	O14976
NP_001471.2	P47211
NP_000145.1	P51570
NP_001469.1	Q00973
NP_002035.1	Q01415
NP_000503.1	P34059
NP_065207.2	A0A024RC48
NP_004472.1	A0A1L7NY50
NP_000147.1	Q14353
NP_000146.2	A0A0S2Z3Y7
NP_004473.2	Q14435
NP_002036.1	P17677
NP_002037.2	P04406
NP_937784.2	Q8TET4
NP_001122394.1	A0A024R5J7
NP_002039.2	P54826
NP_001137302.1	O43903
NP_002038.2	P41250
NP_000810.1	P22102
NP_002040.1	P15976
NP_116027.2	P23769
NP_001472.1	A0A384MR00
NP_000811.1	Q14393
NP_005248.2	Q92908
NP_001474.1	O75323
NP_001473.1	A0A140VK19
NP_000148.2	A0A068F658
NP_000149.4	Q04446
NP_002044.2	P32455
NP_001476.2	P52951
NP_004111.2	P32456
NP_060754.2	Q9H0R5
NP_002045.1	P01275
NP_001092304.1	Q14549
NP_000574.2	P02774
NP_000150.1	A0A024R7F9
NP_000152.1	A0A024R642
NP_000151.1	P47871
NP_001478.2	P78537
NP_005249.1	P30047
NP_000153.1	P35557
NP_001477.2	A0A0C4DFN2
NP_001481.2	Q02742
NP_663624.1	Q8N0V5
NP_066564.2	Q92830
NP_004474.2	P23434
NP_000504.1	P04001
NP_201591.2	F1D8S0
NP_001483.3	A0A024R7N8
NP_057288.1	Q9UK05
NP_005250.1	O14793
NP_005251.1	O60383
NP_001485.2	P50395
NP_004953.1	P55107
NP_000505.1	A0A0S2Z3V2
NP_005252.1	A0A024R9F5
NP_001484.1	A0A0S2Z3X8
NP_002046.1	P14136
NP_005253.3	P55789
NP_005254.2	Q99684
NP_005255.1	P56159
NP_001231639.1	Q06210
NP_001486.4	O00451
NP_001487.2	O60609
NP_000812.2	P38435
NP_001369514.1	Q4G0N0
NP_001488.2	P15291
NP_001275762.1	A0A140VJJ9
NP_002050.1	A0A0M6L0J9
NP_004112.2	P36269
NP_821158.2	Q9UJ14
NP_000506.2	B1A4G6
NP_000154.1	P10912
NP_066567.1	P01286
NP_940799.1	Q92847
NP_004114.1	P09681
NP_005133.2	P27352
NP_000155.1	P48546
NP_068773.2	Q9Y6H8
NP_002051.2	P35212
NP_000156.1	A0A654IBU3
NP_000814.2	A0A090N8Y6
NP_859054.1	P36382
NP_005258.2	P48165
NP_000157.1	A0A654ICJ7
NP_003995.2	H9U1J4
NP_076872.1	A0A654ICK0
NP_005259.1	A0A654IE64
NP_001191948.1	P32189
NP_149991.2	A0A140VKG0
NP_000160.1	P06280
NP_002052.1	P48507
NP_001382882.1	Q14409
NP_001489.1	P48506
NP_004475.1	I6QTG3
NP_001003722.1	Q53GS7
NP_000161.2	P23378
NP_001139139.1	Q92896
NP_612474.1	P10075
NP_006699.2	Q04760
NP_002053.3	P43220
NP_002054.1	P23416
NP_005260.1	P08151
NP_001112362.1	A0A024RAM2
NP_000159.3	P10071
NP_000815.1	P48167
NP_055720.3	O94925
NP_001028216.1	A8YXX4
NP_036216.2	A0A140VK14
NP_005262.1	E9KL48
NP_000396.2	P17900
NP_002057.1	Q99445
NP_004115.1	P60983
NP_001491.1	O60547
NP_002058.2	P29992
NP_031379.2	Q03113
NP_006868.3	P36959
NP_066268.1	P09471
NP_002061.1	P04899
NP_006487.1	P08754
NP_002060.4	P63096
NP_000507.1	A0A0S2Z3H8
NP_002063.2	A0A024R240
NP_653082.1	A1LQ23
NP_002064.1	P19086
NP_001364224.1	P19087
NP_002065.1	A0A140VJJ8
NP_036334.1	P63215
NP_002066.1	F1T0G5
NP_005264.2	P62879
NP_443079.1	O60262
NP_005265.1	P63218
NP_001092192.1	B1APZ0
NP_001017998.1	A0A024R156
NP_004117.1	P61952
NP_068774.1	P63211
NP_001185683.1	O14610
NP_005266.2	A0A024RCR2
NP_001076580.1	P01148
NP_002067.1	A0A024RBC5
NP_000397.1	P30968
NP_002068.2	Q92805
NP_001376612.1	Q08378
NP_006133.1	P31947
NP_002070.1	A0A140VK69
NP_002071.2	P00505
NP_000398.1	P13224
NP_000164.5	P07359
NP_000165.1	P14770
NP_004479.1	P40197
NP_002069.2	Q13439
NP_005267.2	A0A024R138
NP_002072.2	A0A384NPH9
NP_000166.2	P06744
NP_000399.3	P43304
NP_001494.2	P80108
NP_057686.2	P46092
NP_001376374.1	P46091
NP_963885.1	P51674
NP_005272.1	F1DAM5
NP_005273.1	P46093
NP_001019815.1	P46094
NP_005275.1	F1DAM6
NP_001495.1	P49682
NP_005277.2	P48146
NP_005276.2	H9NIL7
NP_004239.2	P49683
NP_061822.1	Q9UKP6
NP_005279.1	A8K2F5
NP_001154889.1	G4XH68
NP_001091670.1	H9NIM1
NP_005281.1	B6V9G9
NP_006134.2	Q15760
NP_005284.2	Q99678
NP_005285.1	H9NIL4
NP_001264929.1	Q99677
NP_005286.2	Q99680
NP_703143.1	Q8NDV2
NP_061844.1	F1DAM3
NP_001091671.1	A0A024R849
NP_005290.2	O00270
NP_005289.2	O00155
NP_001497.1	H9NIL6
NP_001091048.1	Q5VT14
NP_001184113.2	Q49SQ1
NP_005292.2	Q9HC97
NP_005293.1	O15354
NP_001498.1	O43193
NP_001499.1	O43194
NP_005294.1	O14842
NP_001335124.1	A0A0K0PUY3
NP_005295.1	A0A0K0PUW7
NP_001357016.1	C6KYL4
NP_005299.1	P34947
NP_001004106.1	P43250
NP_951009.1	Q9HBH9
NP_892027.2	P32298
NP_004480.1	Q13227
NP_005300.1	P24298
NP_001500.1	O75715
NP_005301.2	A0A0S2Z4F6
NP_056511.2	Q96SL4
NP_002077.1	B0LPF3
NP_001337743.1	Q13322
NP_004481.2	Q14449
NP_000818.2	P42261
NP_001077088.2	P42262
NP_002078.1	P28799
NP_000820.4	P48058
NP_001501.2	O43424
NP_060021.1	Q9ULK0
NP_001317923.1	E7ENK3
NP_000822.2	Q13003
NP_068775.1	Q13002
NP_002079.3	Q16478
NP_015566.1	Q05586
NP_055434.2	Q16099
NP_001364864.1	A0A804HL87
NP_001127879.1	Q12879
NP_001009184.1	Q7Z429
NP_000167.1	F1D8N4
NP_000827.2	O15399
NP_000826.2	Q14957
NP_000825.2	Q13224
NP_004482.4	Q9NRY4
NP_000830.2	Q14416
NP_000832.1	A1L4F9
NP_000831.2	A4D1D0
NP_001264993.1	Q13255
NP_001502.1	P09341
NP_002080.1	A0A024RDD9
NP_001137303.1	P41594
NP_002081.2	P19876
NP_002082.2	P07492
NP_000834.2	O15303
NP_000835.1	Q14831
NP_000836.2	O00222
NP_005305.1	P30550
NP_002083.4	Q12849
NP_005304.3	P30101
NP_005306.1	O15499
NP_063937.2	A0A024R0L5
NP_001139628.1	P49841
NP_000169.1	P48637
NP_000628.2	P00390
NP_665683.1	A0A140VJK4
NP_000838.3	Q16772
NP_000837.3	A0A140VKE2
NP_001503.1	A0A024RD58
NP_000839.1	A0A384P5E9
NP_000552.2	P09488
NP_000840.2	P21266
NP_000842.2	P46439
NP_000841.1	A0A140VKE3
NP_665877.1	A0A0C4DFM0
NP_004483.1	A0A024R5Z5
NP_000843.1	P09211
NP_001505.1	Q00403
NP_005504.2	P29083
NP_056943.1	P52655
NP_002086.1	P29084
NP_000170.1	P52701
NP_004119.1	A0A024RDU9
NP_002087.2	P35269
NP_001507.2	Q13889
NP_005307.1	A0A384MTQ8
NP_001506.1	Q13888
NP_002088.2	Q92664
NP_001508.1	A0A1U9X7S4
NP_001510.2	Q92994
NP_127492.1	P78347
NP_001030598.1	Q8WUA4
NP_291031.2	Q02747
NP_001371839.1	P43080
NP_000846.1	P33402
NP_002089.4	Q9UMX6
NP_009033.1	Q16661
NP_001511.2	Q12789
NP_000849.1	Q16774
NP_000848.1	Q02153
NP_001124154.1	Q02108
NP_002091.4	P06028
NP_002090.4	A0A0C4DFT7
NP_004121.2	P46976
NP_000172.2	P08236
NP_004954.2	P25092
NP_001513.2	P51841
NP_941391.2	P15421
NP_002092.1	P04921
NP_219491.1	P20718
NP_068776.2	P54840
NP_002094.2	P13807
NP_000171.1	Q02846
NP_006135.2	P12544
NP_004122.2	P10144
NP_002095.1	P49863
NP_005309.1	P07305
NP_005310.1	P16403
NP_005308.2	P51124
NP_005311.1	P16402
NP_005314.2	P22492
NP_005313.1	P16401
NP_066409.1	P20671
NP_005312.1	A3R0T8
NP_002096.1	P16104
NP_066390.1	P04908
NP_002097.1	P0C0S5
NP_002098.1	B2R4P9
NP_066407.1	A0A024QZZ7
NP_066406.1	P33778
NP_005315.1	B2R4P9
NP_005316.1	Q02539
NP_004484.1	A0A0S2Z410
NP_004123.1	Q14520
NP_005317.2	Q16775
NP_000174.1	P55084
NP_005318.6	A0A140VK76
NP_000173.2	E9KL44
NP_002099.1	P42357
NP_002100.2	P12081
NP_001284365.1	G3V1S7
NP_005319.1	Q92819
NP_001186209.1	O00219
NP_000549.1	D1MGQ2
NP_000508.1	D1MGQ2
NP_001003938.1	A0A1K0FU50
NP_000510.1	A0N071
NP_000509.1	D9YZU5
NP_000550.2	D9YZU8
NP_000175.1	D9YZU9
NP_005321.1	D9YZU7
NP_005323.1	P02008
NP_005322.1	A0A1K0GUV5
NP_005324.3	A0A024RBY9
NP_000176.2	P05546
NP_001515.1	O43612
NP_002101.2	P08631
NP_005325.2	P51610
NP_005326.3	P14317
NP_001371201.1	O43614
NP_004955.2	Q13547
NP_001516.2	O43613
NP_004485.1	A0A384NPW1
NP_001518.3	Q92769
NP_002103.2	P19113
NP_060533.2	Q9NRZ9
NP_005327.1	A0A024R4E5
NP_000511.2	A0A0S2Z3W3
NP_005328.2	P55160
NP_000401.1	Q30201
NP_002104.2	Q03591
NP_005657.1	P36980
NP_000178.2	Q93099
NP_000177.2	A0A024R962
NP_002720.1	Q03014
NP_000592.3	P14210
NP_001519.1	Q04756
NP_039258.1	Q02297
NP_005331.1	A0A384NPU2
NP_005330.1	P61086
NP_001521.1	D0VY79
NP_005329.3	O00291
NP_000179.2	P19367
NP_006725.3	P31629
NP_002107.3	B1PKY1
NP_005332.1	P10074
NP_005505.2	E5FQ95
NP_000180.2	P52789
NP_006111.2	Q31604
NP_002109.2	A0A1V0E3P2
NP_002108.4	P10321
NP_002106.2	A0A024R7R1
NP_005506.3	P50219
NP_002110.1	A0A1V0E3M7
NP_002111.1	P13765
NP_002112.3	I4EC15
NP_064440.1	P01906
NP_002113.2	A0A173ADG5
NP_002114.3	Q5Y7D6
NP_061984.2	A0A0G2JMH6
NP_001287719.1	Q5SR05
NP_002115.2	D7RIH8
NP_002116.2	A0A2Z4LKS3
NP_002117.1	Q16534
NP_005507.3	A0A4E9D3W4
NP_001371219.1	P17693
NP_001372090.1	Q95460
NP_068777.1	Q14774
NP_002119.1	A0A024RDR0
NP_000181.2	P08397
NP_005333.2	O15347
NP_002120.1	P26583
NP_004956.5	P05114
NP_005508.1	P05204
NP_001091949.1	Q5JZ48
NP_000182.2	P35914
NP_665906.1	P17096
NP_000850.1	A0A024RAP2
NP_001091742.1	A0A024R059
NP_005509.1	A0A140VJL2
NP_002124.1	P09601
NP_002125.3	P30519
NP_005510.1	A2RU54
NP_061815.2	Q9NP08
NP_775180.1	A0A024R126
NP_004487.2	P55317
NP_068556.2	B0ZTD4
NP_787110.2	F1D8T0
NP_004488.2	A0A024R0R3
NP_004124.5	A0A6E1WB48
NP_008826.1	P50135
NP_004489.1	Q9UBC0
NP_112420.1	A0A024RAZ7
NP_001523.2	Q14542
NP_112738.1	A1LU37
NP_001244222.1	A0A384MEJ3
NP_001091674.1	A0A024R7T3
NP_062543.1	A0A384MDT2
NP_036339.1	A0A024QZK8
NP_057254.1	O43763
NP_005512.1	P31314
NP_001524.2	P14866
NP_114032.2	Q00839
NP_005513.2	A0A2R8Y4R9
NP_006726.1	O43364
NP_061975.2	P20719
NP_002132.3	Q00056
NP_705895.1	A0A024RA33
NP_076919.1	P31267
NP_008827.2	P31268
NP_689952.1	P31269
NP_061824.3	P31260
NP_005514.1	P31270
NP_000513.2	P31271
NP_002134.2	P84074
NP_001371678.1	P14651
NP_002135.2	P14653
NP_076920.1	P17483
NP_002136.1	P14652
NP_002138.1	P09067
NP_004493.3	P09629
NP_061825.2	P17509
NP_076921.1	P17481
NP_076922.1	P17482
NP_705897.1	A0A024RB51
NP_004494.1	P09630
NP_061826.1	Q00444
NP_073149.1	P31273
NP_008828.1	A0A024RAZ6
NP_059105.2	Q53XI4
NP_776272.1	P31275
NP_055027.1	O43248
NP_059106.2	P31276
NP_078777.1	Q9GZZ0
NP_008829.3	P31249
NP_055436.2	P09016
NP_062458.1	P13378
NP_055028.3	P28356
NP_002139.2	P28358
NP_067015.2	P31277
NP_000514.2	P35453
NP_067016.3	P35452
NP_005134.1	P00738
NP_002140.2	P37235
NP_002141.2	A0A0B4J1R4
